Date,Portfolio Value,Reference Values
2016-10-28,3043965.9062441965,1704676.7637166518
2016-11-04,3056165.432834825,1674772.506860906
2016-11-11,3257696.2878615684,1750113.4886408206
2016-11-18,3356648.0458842074,1773925.468914431
2016-11-25,3413765.0676351306,1804293.9974826172
2016-12-02,3314908.5352186104,1788039.32897262
2016-12-09,3476523.6828951347,1848012.9170707567
2016-12-16,3425324.0202039056,1827677.8160658663
2016-12-23,3442846.5435744557,1828523.8222974248
2016-12-30,3412631.4791098433,1809148.2161649114
2017-01-06,3483304.3383629923,1842565.462311456
2017-01-13,3510724.4304852653,1839583.806202672
2017-01-20,3513760.99126422,1838056.8681262012
2017-01-27,3525435.0234302306,1854646.843984072
2017-02-03,3534262.9024268975,1858603.470688981
2017-02-10,3540099.4526291885,1876508.883065433
2017-02-17,3536294.597201986,1897318.572931929
2017-02-24,3540532.482464426,1906990.9002744376
2017-03-03,3577695.4161154013,1911184.8214101496
2017-03-10,3553893.7314810506,1894481.3569114597
2017-03-17,3569459.138933642,1904406.4544085197
2017-03-24,3517438.8128164927,1876859.6661370548
2017-03-31,3569327.092889215,1898211.0063347311
2017-04-07,3541581.9545489205,1890885.830427338
2017-04-14,3506447.0574375447,1870875.7196211559
2017-04-21,3490370.0656194314,1890220.3743061733
2017-04-28,3553172.372315029,1909420.588902876
2017-05-05,3562158.2964610113,1917870.3340692918
2017-05-12,3580164.5486258124,1902745.3933928998
2017-05-19,3565263.60204116,1898190.3720364007
2017-05-26,3617552.927757954,1919577.822256156
2017-06-02,3692137.325319397,1940031.570476448
2017-06-09,3651053.4380946252,1936632.0698264674
2017-06-16,3606895.484210507,1941610.0942987453
2017-06-23,3594151.8438482177,1937756.63908549
2017-06-30,3610532.6930451347,1936544.3740585623
2017-07-07,3598534.8903859174,1932118.31706663
2017-07-14,3657928.2609759895,1958793.3062336238
2017-07-21,3695864.111195738,1970173.1217629965
2017-07-28,3711440.89120583,1967392.6500629368
2017-08-04,3720784.141939133,1960144.8527742836
2017-08-11,3659341.93210818,1925711.3674349526
2017-08-18,3568545.9789449284,1910256.2779852692
2017-08-25,3632624.991187076,1927326.0012793287
2017-09-01,3730236.3439612067,1950714.9784371606
2017-09-08,3683769.3913568426,1943812.8056455464
2017-09-15,3808537.539981301,1973680.9524792132
2017-09-22,3778607.8465169813,1976987.5987867054
2017-09-29,3843224.4781530695,1996910.0138249823
2017-10-06,3908700.9075823775,2016027.6912283623
2017-10-13,3893485.341095324,2016935.6003549122
2017-10-20,3903953.7225780813,2034877.122753443
2017-10-27,3848532.2517033634,2023120.731279535
2017-11-03,3826953.9858910493,2019989.4765078535
2017-11-10,3758565.1165409493,2022212.8221529848
2017-11-17,3812231.6063711606,2033190.2688649094
2017-11-24,3855836.9936565105,2043858.2011018735
2017-12-01,3963963.282867679,2085565.2766027711
2017-12-08,4012747.2721404303,2094401.9148628872
2017-12-15,4071926.947100586,2099488.2694014013
2017-12-22,4186718.4525337704,2113875.5339124715
2017-12-29,4197441.527293983,2110997.049295341
2018-01-05,4299142.684344547,2157527.3920310363
2018-01-12,4412510.300414535,2192270.391845328
2018-01-19,4420069.310600447,2203913.294678417
2018-01-26,4515727.70008539,2246069.166168007
2018-02-02,4308490.889853147,2153926.7069723317
